#,Years of experience,Company that you applied for,Position that you apply for,Company where you worked previously,Your last position at your last company where you worked,Skills,Intro,Why me,Experience,Why company,Outro,Quality intro,Quality why me,Quality experience,Quality why company,Quality outro,,,,Skills
82,3,VMware,Program Marketing Manager,T-Mobile,Program Marketing Manager,"Google Analytics, SMM, PR, Google AdWords, Facebook Ads, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, SEO, e-mail marketing, marketing strategy, Communication, people management","Dear recruitment manager,
let me thank you for your time. Let me introduce briefly my experience and myself","My experience has developed my ability to build relationships and develop positive working relationships with clients. I have experience working in a fast paced environment, with multiple stakeholders, and with different levels of expertise. I love getting my hands dirty and have a strong desire to learn and grow. In my free time I enjoy running, traveling and reading. I have a thorough understanding of digital marketing and how to implement a strategy that increases conversion rates. Additionally, I am very detail-oriented and have the ability to analyze and interpret data. I also have a strong ability to communicate and collaborate with all levels of my team.","My background includes working at the top tier companies including T-mobile, AT&T, and Sprint. As a Digital Marketing specialist, I was responsible for developing strategies for brand engagement and increasing engagement with customers, as well as developing and implementing marketing campaigns with both digital and physical channels. My main achievement is the fact that I decrease the CAC of the users and brought an extra 15% of the margin gross revenue. ","VMware is the leader in virtualization technology and my dream company. I would love to join the VMware team and help them to become even more innovative. I feel that my technical and marketing skills will be an asset for the company. Moreover, the culture of VMware is very close to my personality and values.",I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,1,1,0.9,1,,,,
83,3,VMware,Program Marketing Manager,T-Mobile,SEO specialist,"Google Analytics, SMM, PR, Google AdWords, Facebook Ads, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, SEO, e-mail marketing, marketing strategy, Communication, people management","Dear recruitment manager,
let me thank you for your time. Let me introduce briefly my experience and myself","While at T-Mobile, I worked on all stages of content creation and optimization, from SEO strategy up to execution. I learned how to use every SEO tool to create optimized, searchable content that will help drive traffic to websites and increase conversions. I want to work on a project that’s relevant to me and helps me achieve my own goals. I enjoy working with people on both sides of the table, while also being creative and solving problems. I bring a positive attitude and a good work ethic to everything I do.","I took on the SEO position at T-mobile in 2020, and within a year, we made significant improvements in our rankings on Google. I've been working as a SEO consultant since then, with clients such as Google, Microsoft, and T-mobile, among others. I also am an SEO coach and mentor in my community.
",VMware is a global technology leader with a mission to provide high-performance cloud computing to businesses around the world. VMware has built an amazing reputation for delivering a highly reliable and secure cloud. I hope that my experience in T-mobile will prepare me for the challenges that lie ahead.,I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,1,0.9,1,1,,,,
84,7,Opera,Lead digital marketer,Lufthansa,Senior Digital marketer,"Google Analytics, SMM, PR, Google AdWords, Facebook Ads, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, SEO, e-mail marketing, marketing strategy, Communication, people management, Unit-economy, Financial management, revenue management, Team building, Hiring and Firing","Dear Sir/Madam,
Thank you for the opportunity to apply for the above role at your
company","I would like to help build the digital team at Opera. With my background in marketing, digital strategy, advertising, content marketing, and project management, I know how to use the right combination of digital tools to create amazing experiences across the web. This is why I love what I do.","With over 7 years of digital marketing experience, I can build and execute a successful digital strategy for your business, in order to drive profitable growth and increased customer engagement. While working at Lufthansa, I managed a team of 5 digital marketers who helped develop and execute strategies that drove revenue growth across multiple channels and verticals.","Opera is a company, whose idea is to make the world more beautiful. I see my role as the one, who will help our company to become one of the best in the field. I want to contribute to improving the digital experience for our users and for the whole community.",I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,1,1,0.9,1,,,,
85,7,Opera,Lead digital marketer,Lufthansa,Senior Digital marketer,"Google Analytics, SMM, PR, Google AdWords, Facebook Ads, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, SEO, e-mail marketing, marketing strategy, Communication, people management, Unit-economy, Financial management, revenue management, Team building, Hiring and Firing","Dear Sir/Madam,
Thank you for the opportunity to apply for the above role at your
company","With my extensive digital marketing experience, I know how to create a strong digital strategy and execute it effectively. I can bring a solid understanding of digital marketing, social media, and search engine optimization, as well as a strong marketing background. The digital world is changing every day and I always try to stay up to date.","At Lufthanyans, I was responsible for driving revenue growth for their digital division, which included: Optimizing and implementing new advertising campaigns, driving traffic to the website, creating content, working with agencies to develop content and more.","Opera is my dream company. The company is innovative, progressive and flexible. Opera has a dynamic culture and a team of motivated professionals. I love the way you work - you are always looking for ways to deliver the best user experience. The way you organize your work and the projects that you tackle are inspiring and inspiring.",I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,1,1,1,1,,,,
86,7,Opera,Lead digital marketer,Lufthansa,Senior Digital marketer,"Google Analytics, SMM, PR, Google AdWords, Facebook Ads, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, SEO, e-mail marketing, marketing strategy, Communication, people management, Unit-economy, Financial management, revenue management, Team building, Hiring and Firing","Dear Sir/Madam,
Thank you for your time and opportunity to present my experience and myself","My experience in digital marketing includes experience with Google, Twitter, Facebook, LinkedIn, Instagram, YouTube, Pinterest, Snapchat, and more. I know how to use the tools and technologies to understand the needs of our clients and how to manage a campaign that converts leads into sales. I have a solid background in digital marketing and have worked at companies like Lufthansa and IHG. I like to help companies improve their digital marketing campaigns and understand how to use the right tools to reach their goals. This is why I am interested in working at an organization that is focused on digital transformation and wants to grow its business.","I have a strong background in digital marketing and digital strategy. I know how to use analytics and Google Analytics to optimize campaigns and how to measure ROI on social media. I also have experience in SEO and PPC campaign optimization. I consider myself a very detail-oriented and organized person, and I am very meticulous when it comes to completing tasks. My main achievement is that I built a highly performing team of 15 marketers that increased total revenue by 24% during the last two quarters.","Opera is my dream company. The company is innovative, progressive, and flexible. Opera has a dynamic culture and a team of motivated professionals. I love the way you work - you are always looking for ways to deliver the best user experience. The way you organize your work and the projects that you tackle are inspiring and exciting.",Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,1,0.8,0.9,1,,,,
87,8,Chevron,Digital Marketing Manager,Shlumberger,Project Manager,"Google Analytics, Google AdWords, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, Communication, people management, Unit-economy, Hiring and Firing, SCRUM, Kanban, Agile,  SEO, Project Management","Dear Sir/Madam,
Thank you for your time and opportunity to present my experience and myself","With over 8 years of experience in digital marketing, I'm excited to join your team! I've worked in multiple roles, from Project Manager to Digital Marketing Manager. From there, I quickly moved into a Digital Marketing Engineer position, which I enjoyed for a while before jumping into a Project Manager position.","I currently work at Shlumberge as a Project Manager, and I've been working there for about a year now. Prior to that, I spent a year at Hootsuite as an Account Manager and then a year in San Francisco at a startup called Poke.","As a project manager, I will be responsible for the execution of a large product suite, such as IT services, data warehousing, and web services. I look forward to building a collaborative and innovative team, taking advantage of Chevron’s global resources and capabilities.",Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,0.4,0.3,0,1,,,,
88,8,Chevron,Digital Marketing Manager,Shlumberger,Project Manager,"Google Analytics, Google AdWords, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, Communication, people management, Unit-economy, Hiring and Firing, SCRUM, Kanban, Agile,  SEO, Project Management","Dear Sir/Madam,
Thank you for your time and opportunity to present my experience and myself","In my last role as Project Manager at Shlumberg, I had the opportunity to lead a large marketing team in the acquisition of new customers and customers-to-employees. The product we were working on was a major part of their corporate strategy. I was also responsible for driving a strategic, multi-channel marketing strategy for a client. I believe I have the knowledge and experience to lead digital marketing teams and help them achieve their goals. I also have a strong understanding of how digital marketing strategies translate into measurable results. This experience has been applied to all aspects of my career, including SEO, PPC, and content marketing.","I have the experience to help Chevron to implement the digital marketing strategy that will help them win the market. I possess a strong understanding of digital marketing, content marketing, and search engine optimization. I am very detail-oriented and have a high degree of accuracy and productivity. I have a strong understanding of the marketing aspects of oil and gas. I've been responsible for major projects and have successfully executed campaigns. I'm proficient in using Google Analytics and Google Ads to understand and optimize the performance of marketing campaigns and websites.","Chevron is a company with a strong reputation. It is a business with a strong focus on customers, which requires a lot of attention to detail. I enjoy working with this kind of company and I'd like to be a part of this team.",Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,1,1,0.6,1,,,,
89,1,Oriflame,SDR,Danone,SDR,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot","Dear Sir/Madam,
Thank you for your time and opportunity to present my experience and myself","With 20 years of experience in sales and marketing and my strong background in IT, I know how to get things done. I've already worked for several successful companies in the food and health industries, so I'll be able to leverage my experience to help Oriflame grow.","In my short time at Danone, I worked with the sales team to increase the number of deals we made. I had experience in cold calling and cold emailing, helped manage an online sales team that used HubSpot CRM, and built a sales funnel, which led to increased sales.","The company is a perfect fit for me because of their high-tech business approach and entrepreneurial spirit. They promote innovation at all levels, have a strong focus on continuous improvement and are continuously looking for ways to improve their business. Also, they are a fantastic place to grow and develop.",Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,0,1,0.7,1,,,,
90,1,Oriflame,SDR,Danone,SDR,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot","Dear Sir/Madam,
Thank you for your time and opportunity to present my experience and myself","My experience includes sales development (with a focus on product development) and cold calling. With a strong focus on customer service, I will be able to translate my sales and development skills into a successful SDR role. I look forward to working with you to build a long-term relationship with your company and to help grow your business.","I am responsible for generating and managing the sales pipeline of the Global Sales and Operations team. I manage all aspects of sales development including cold calling, prospecting and follow-up. In addition, I manage sales opportunities, provide training and coaching to sales representatives and ensure the delivery of successful sales results. Since joining, I have managed to build a pipeline of potential customers, and secure multiple deals. I would like to continue to build on these skills and work towards building a team that will drive growth for Oriflame.","Orifame is my first choice, because they are the top of the world and have a great network of specialists in different fields. I also like their culture and the fact that they always support their employees.",Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,0.8,1,0.6,1,,,,
91,0,Danone,Junior SDR,none,Student,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach","Dear Sir/Madam,
Thank you for your time and opportunity to present my experience and myself","Due to my prior experience working at a university, I know how to structure my own work and make my time productive. In the past, I've developed sales strategies and managed multiple sales teams through the sales cycle. I think that this job would suit my skills and experience perfectly.","I would be interested in working as an SDR at Danone because I believe in helping the world’s most vulnerable populations. I want to use my skills and experience in sales and marketing to support the Danone’s work in Africa, specifically in Mozambique, where we have a large presence.","Danone is my place of work, where I can grow and learn. In my opinion, Danone has the best working environment. Here, I can always find a lot of free time to write my own projects, get feedback from my team and learn from the best professionals in the world.",Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,0.1,0,0.3,1,,,,
92,0,Danone,Junior SDR,none,Student,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach","Dear Sir/Madam,
Thank you for your time and opportunity to present my experience and myself","I’d like to apply my sales development, cold calling and outreach skills to this position. I would love to help the team grow the business and work on our international expansion. I also have experience in presenting to investors and managing their expectations. I am an avid user of email marketing and would like to build a professional email list. With my experience in the sales development industry, I'm confident that I can fill this position with enthusiasm. I look forward to working with you to develop a sustainable and profitable business relationship.","I have a background in digital sales, with experience in cold calling and outbound selling. I know how to structure a sales call, how to use a landing page, and how to get your prospect interested in your product. I would be your next Sales Development Representative and help you to build your team and increase your sales. I've been working as a sales representative for less than a year, but already have a positive experience in this field. I want to apply my skills and experience to your company and grow with you.
",Danone is a well-known company in the dairy industry. Their success is based upon their vision to provide healthy and delicious food. I’m interested in working in a fast-moving and dynamic company where I can be a part of a team to develop and implement a creative and unique strategy. Danone is my first choice because your company has the best reputation among other companies.,Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,0.9,1,1,1,,,,
93,3,BP,SDR,Rosneft,SDR,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication","Dear recruitment manager,
let me thank you for your time. Let me introduce briefly my experience and myself","With more than 10 years of experience in sales, marketing and international business I have built a strong network of contacts and business relationships. My expertise includes sales development, cold calling and outbound marketing. Additionally my background in IT has helped me to structure and organize my work and I have successfully managed multiple projects.
","I have a passion in sales development and sales strategy. I am interested in applying my skills to new opportunities.
I have over 15 years of experience in sales and marketing. I hold a bachelor’s degree in marketing and two master’s degrees in business administration. For the past ten years I have been working as a marketing executive.","BP is an industry leader in oil and gas production. They have the world’s largest and most diverse energy resources. BP’s diverse global footprint and extensive experience make them a leader in all aspects of oil and gas operations.
I believe that working for BP provides a unique opportunity to achieve my professional goals and is a perfect fit for me.",Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,0.1,0,1,1,,,,
94,3,BP,SDR,Rosneft,SDR,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication","Dear recruitment manager,
let me thank you for your time. Let me introduce briefly my experience and myself","Currently, I am performing sales and marketing activities for Rosneft in the form of cold calling and prospecting for clients. During the same period, I acquired excellent communication skills and mastered the cold-calling methodology. Additionally, I possess excellent interpersonal skills and I have managed to create strong relationships with people and organizations. I also have a strong understanding of the industry, as I have worked in the oil & gas industry for over 3 years.","In my last position, I worked as a Sales Development Representative at Rosneft. I was responsible to execute sales plans and increase sales revenue. Over the past three years, I have successfully worked with multiple teams, ranging from sales and marketing to engineering and operations. I've also participated in the successful implementation of several projects. My ability to communicate and present ideas effectively are complemented by the ability to quickly grasp complex issues and make recommendations on how to overcome them. My experience has shown me that I can deliver a more effective approach to sales and business development. In my current role, I am responsible for the sales, marketing, and customer service teams within a global business, which encompasses multiple regions around the world. As a team member, I have worked to establish and build long-term relationships with both our customers and vendors.
","BP is my decision. I found a job that will give me the opportunity for future career growth, as well as to build my skills, broaden my knowledge and enrich my experience. I am looking forward to working with talented and experienced professionals who will help me to become an expert in our industry.",I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,0.8,0.9,1,1,,,,
95,3,BP,SDR,Rosneft,SDR,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication","Dear recruitment manager,
let me thank you for your time. Let me introduce briefly my experience and myself",I have been working at Rosneft for 3 years. During this time I’ve helped to run the company’s sales and marketing activities. I am also responsible for all parts of the sales pipeline. I understand how to develop and manage sales teams and create effective sales processes. I also have experience in cold calling and outbound calling.,"Over the past two years, my team has built a successful sales pipeline in Russia, with our main focus on the oil and gas industry. With a solid background in sales, marketing and business development, I know how to manage complex tasks and have proven experience in cold calling and establishing rapport with clients/opportunities.","BP is my chosen company and my current company is Rosneft. I was impressed by your reputation and your success. BP has a high level of professionalism, but also encourages and supports your passion and drive to succeed. That is why, I choose BP as my new company. As a team member, I’m looking forward to working on challenging projects and helping our customers.",I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,1,1,1,1,,,,
96,5,Webflow,Senior Sales Manager,Tilda Publishing,Senior Sales Manager,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication, Sales Strategy, Mentoring","Dear recruitment manager,
let me thank you for your time. Let me introduce briefly my experience and myself","I possess a wealth of knowledge and experience in the marketing and sales departments. This includes strong technical and analytical skills, as well as strong communication and presentation skills. At the same time, my experience includes the ability to work effectively with others to develop and execute business plans.
","Being a senior sales manager I have a good understanding of product management. I possess the skills to engage with customers and understand their pain points. I work with multiple product teams and have a strong understanding of their needs. Additionally, I am an experienced writer who can market effectively and speak fluent English.","Webflow is a software company that builds tools for web developers, designers and marketers. Recently, Webflow has launched a SaaS offering - Webflow Pro. Webflow Pro is designed for professional web designers and developers who want to build high-end websites.",I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,0.8,0.4,0.1,1,,,,
97,5,Webflow,Senior Sales Manager,Tilda Publishing,Senior Sales Manager,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication, Sales Strategy, Mentoring","Dear recruitment manager,
let me thank you for your time. Let me introduce briefly my experience and myself","Over the past two years I have helped Tilda build a strong sales team by focusing on driving revenue through an effective sales pipeline and building strong relationships with clients. In the role of Senior Sales Manager, I would focus on building and managing a sales team in addition to my existing responsibilities. I have a wealth of experience in Sales Management and have always been known as an extremely hard worker and a high performer. Previously, I worked for Tilda Publishing where I was responsible for sales development and cold calling. As a result, I gained a lot of expertise in selling products and services to new and existing customers.","My experience in sales management includes a wide variety of industry experiences that include consulting, product management, sales, marketing and sales support. I currently work for Tilda publishing as a senior sales manager, where I help grow our sales team by leveraging my sales and marketing skills.","Webflow is my favorite company because you have a team of smart and passionate people, who are always ready to share their knowledge and experience. I want to become part of this team and help them grow in their professional career.",I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,1,0.9,1,1,,,,
98,5,Webflow,Senior Sales Manager,Tilda Publishing,Senior Sales Manager,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication, Sales Strategy, Mentoring","Dear recruitment manager,
let me thank you for your time. Let me introduce briefly my experience and myself","We are looking for a highly motivated and enthusiastic professional with strong communication skills to join our team as a Senior Sales Manager. You will be responsible for managing the account of our leading client, an industry leader.","I’d like to work with an amazing team in a small startup that is building a new platform for selling business-to-business data. As the Sales Manager I would be responsible for providing sales support, closing deals, and driving growth.","Webflow is a highly innovative, fast-growing company with a wide range of products for web and mobile development. Webflow helps you build beautiful websites and applications with ease. I would also like to contribute to building a strong team with the experience of working in one of the world’s most innovative companies.",I am confident that I can be an asset to your company and would appreciate the opportunity to discuss my qualifications further. Thank you for your time and consideration.,1,0,0.2,0.6,1,,,,
99,5,Webflow,Senior Sales Manager,Tilda Publishing,Senior Sales Manager,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication, Sales Strategy, Mentoring","Dear Sir/Madam,
Thank you for your time and opportunity to present my experience and myself",I have experience managing sales teams and know how to motivate them and get them to achieve their goals. I also have strong business acumen and a strategic understanding of sales and marketing. I was a Sales Manager for a large eCommerce team in Tilda and managed a team that sold over a million products per month.,"With over 5 years of experience in the sales industry, I've worked with many clients and helped them to increase their revenue. In my time at Tilda, I helped to build up our sales team, with high standards of professionalism, efficiency, and customer satisfaction. In my previous position as Sales Manager at Tilda, I had the opportunity to build a successful sales team and grow my own sales pipeline. I enjoy working on strategic and tactical sales processes, as well as building relationships with my customers. I'm also very comfortable working independently as well as collaborating with teams to meet sales goals.",Webflow is a young company but its mission is quite simple: To change the world. It is an amazing company and I love it. Webflow believes in open source and is proud to have many open-source projects in its portfolio. I look forward to working with the Webflow team and helping it to grow its community of users and partners.,Thank you for your time and consideration. Will be glad to discuss further about my experience.,1,0.8,1,1,1,,,,
100,2,Google,HR manager,Apple,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,,"I’m passionate about building strong teams and helping employees maximize their potential. Since joining Apple, I've worked on many projects, from recruiting and hiring to training and onboarding. I'm excited to continue working on a variety of projects as HR at Google.","With Google you can grow in different ways. You can get a chance to get more experience in different roles, for example, you can start your career as a software engineer, then you can move to other roles such as HR, finance, marketing, etc. Google is always expanding, therefore you never know where your next role will be.",,,0,0.8,0.5,,,,,
101,3,Google,Senior HR Manager,Apple,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"In the past I've worked for a number of companies, ranging from small startups to large multinational corporations. I'm currently looking for an opportunity to gain experience working in a fast-paced environment. I enjoy working with people and managing teams, am highly motivated, and thrive in a challenging environment where I can make a real impact.","As a Senior HR manager, you’ll be responsible for ensuring the right people are hired, training and developing talent, and leading the team to achieve results. You’ll engage in an environment that has high standards of ethics, integrity, and innovation, while helping to build a culture of trust and respect.","Apple is the Company with a strong reputation for being one of the best employers in the IT industry. In addition, the company has been investing in hiring and training new employees for a long time. Apple was founded in 1976 and has a deep knowledge and an extensive experience in the field.",,,0,0,0.1,,,,,
102,3,Google,Senior HR Manager,Apple,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"As a senior HR manager, your job is to ensure the success of the team, ensuring that the growth of the business is a priority for the entire executive team. Your responsibilities include developing the hiring strategies of your business and ensuring that your team is well-staffed for the long-term growth of your company.","Over the past 12 years, my experience and expertise has been in Human Resources and I have acquired a broad range of skills including, but not limited to: communication, leadership, negotiation, team building, conflict resolution, conflict management, time management, and time to market.","Apple is my favorite company and it is the only one I ever wanted to work for. My dream was to work there and now that my dream has come true, I’m so happy. Apple has a reputation of being one of the largest employers in the world. You can see this in their employees’ numbers.",,,0,0.1,0,,,,,
103,2,Google,HR manager,Apple,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,My experience working for Apple is a great example of how hard I work and how I can help your organization. I started working at Apple at the age of 18.,"I’d like to join a company that is focused on creating a good user experience. At Apple, I was responsible for recruiting, interviewing, onboarding, and terminating people. I also helped to develop and manage people resources, including hiring, retention, training, and performance management.","Google is my first choice, because I read about it in many interviews and articles. Its culture is inspiring and I really want to join this company. I see many opportunities to grow here and I know that Google is always looking for the best talent.",,,0.3,0.9,0.8,,,,,
104,2,Google,HR manager,Tesla,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"You can’t have anyone better than me. I love working with people and I’d love to apply my experience here at Google to be a great HR manager. I bring a lot of skills that would be beneficial to us: communication, planning, organizing, leadership, teamwork and more.","I have been working in HR for many years now, my background is in recruitment, termination, onboarding and recruiting. I am looking for a position where I will be working closely with our teams and the candidates, it is an exciting position to work in.","Google is my dream company because of their innovative culture and commitment to their employees. As a HR Manager, I will be responsible for leading all aspects of personnel and recruiting operations on a global basis, as well as managing the entire recruitment process from the initial candidate screening to the final employment decision.",,,0.7,0.6,0.5,,,,,
105,2,Google,HR manager,Tesla,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,I have been working at Tesla as HR Manager for 2 years. This position is one of my most difficult because I need to manage the team to ensure that all employees have the right resources and training to perform at their best. I focus on the HR side of business and am an expert in recruiting and hiring employees.,"Over the past two years, I've successfully managed more than 60+ employees at Tesla. I'm currently working on a team building initiative and I'll be responsible for hiring, onboarding, and terminating employees in the engineering department.",At Google I'd like to build a team of HR professionals who are passionate about their work and are ready to put their unique skills to work on a variety of projects. Google is known for its strong culture and support for innovation. I would really enjoy working here and I hope to continue my career in Google to build great teams.,,,0.9,1,1,,,,,
106,3,Google,Senior HR manager,Tesla,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"I would like to join a company with strong values and culture. As a senior HR leader, I will be responsible for hiring, onboarding, termination and compensation management for the entire company. A strong understanding of the human resources process, team building, conflict resolution and organizational development will be a benefit.","At Tesla I was charged with recruiting, onboarding, and terminating employees, as well as managing the hiring process. I successfully managed a team of HR professionals and have built a strong foundation in HR operations and processes.","Google is my favorite company for many reasons. Firstly, it is a company which gives you the opportunity to develop your skills and your career. Secondly, Google culture is inspiring and motivating which means that it keeps you going towards something better.",,,0,0.8,0.9,,,,,
107,3,Google,Senior HR manager,Tesla,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"Over the past 3 years I have enjoyed working in both retail and manufacturing environments. In both, I have been an effective Human Resource Specialist and have grown from entry level position to strong middle. During that time I have seen many changes in the field of HR and I have learned to adapt to and would like to implement best pracrices to Google.","As HR manager I am responsible for the recruitment, hiring, assessment, development and termination processes for all of Tesla's global employees. Additionally, I oversee all aspects of employee benefits, and I'm responsible for making sure the Tesla culture is reflected in our workplace.","Google is the largest internet search company in the world. I’m applying for the position of HR Manager because I see it as the ideal position to make a difference in the lives of thousands of people and their families. To do this, I need to build a team of individuals who share my vision for change and are passionate about solving problems.",,,0.9,0.9,1,,,,,
108,3,Google,Senior HR manager,Tesla,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"Due to my extensive experience in HR, I could help Google in maintaining its current talent pool and attract new talented people. I understand how to recruit and develop employees and also I've got strong skill in managing a team as a human-resource professional with 3 years of experience.","The role requires you to be a strong manager, have good communication skills, and be able to make decisions quickly. You should also be able to adapt to new technologies, use them effectively, and develop the skills needed to succeed in your role. I know the tech industry and I have experience with working with new technologies.","
My dream company is Google and I would be glad to be a part of a team of people who are passionate about their work and who would be willing to share their knowledge with others. I love interacting with people and helping them to make their lives better - I`m sure Google is the best place for it.
",,,0.9,0,0.8,,,,,
109,3,Huawei,Senior HR manager,Tinder,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"My experience in working on recruiting, hiring, onboarding and termination process has helped me to understand the key aspects of the roles and how the team can be built to meet the needs of the organization. I would like to contribute my skills to the company in order to increase the performance of the HR department.","The primary focus of my role will be on recruiting and developing the talent pool at Huawei while maintaining a positive, collaborative culture. I would be excited to work with talented engineers and designers to build a world class team. I am skilled in recruiting, training and managing teams and have successfully led a portfolio of global teams.","Huawei is my company choice because the company has a reputation of being an innovative leader in technology and its culture is based on innovation, integrity and teamwork. I want to build a team with a high level of commitment and dedication to one another and a high-level of professionalism.",,,1,1,1,,,,,
110,3,Rockstar,Senior HR manager,Uber,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"I would be great to work with you because I love what I do. I thrive on being part of a dynamic team and this is a rare opportunity to work directly with our customers. I am excited to help us achieve our goals. I also want to learn more about our business and the culture of Uber.
","Over the past three years, my HR responsibilities have included overseeing the hire process, onboarding, termination and employee relations. I know how to communicate effectively with people and build trust with my managers and coworkers.","You can not find a better company to work with than Rockstar. I would love working there, because the company has amazing corporate culture. I would like to be a part of this team and help them to grow and make them the biggest company in game development. I will be happy to start working as soon as possible.",,,0.9,0.9,0.7,,,,,
111,3,Shevron,Senior HR manager,Danone,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"With over 20 years of experience in Human Resources, I have acquired the knowledge and skills to lead a team of HR professionals while ensuring compliance with all applicable laws and regulations. I provide a comprehensive approach to managing and training employees while developing them into successful leaders.
","We have received your application. Thank you.

I have a background in human resources and I do have a passion to help startups grow. I am an experienced HR professional with over 10 years of experience in recruiting, onboarding, termination and HR coordination. I also have strong communication and organizational skills.","It is my dream job and I hope to find the right place to realise my ideas. For me, Shevron is a place where I will be able to combine both, my passion and my work experience. When I look for a job, I always keep my eyes open for the companies with a strong culture and a culture of innovation.
",,,1,0,0.9,,,,,
112,5,Telegram,Senior HR manager,Airbnb,HR manager,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution",,"In my previous position, I had extensive experience in recruiting and hiring professionals in the Middle East. I understand that there are many challenges in finding the right people, and I’ll use my experience to create the most effective recruitment strategy.
I am very organized and detail oriented, with strong analytical skills.","At Airbnb, my focus has been on the human experience of our guests and the people who work here. As part of HR, I lead the hiring and termination process, manage all HR issues (e.g. termination, sickness, etc.), deal with all employee issues, and help ensure that our employees are treated fairly.","Telegram is my dream company to work, because in my opinion, it has the best culture in tech. It is a global platform where developers, designers, and marketers can work together to create a better world. Telegram is a powerful community of people who share passion for technology and creativity.
",,,0.9,1,1,,,,,
